run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet20_N1p5_seed6,6,1337,1.5,300,0.582337,88.7900,89.7200
cifar10_resnet20_N1p5_seed7,7,1337,1.5,300,0.593091,88.4300,89.5000
cifar10_resnet20_N1p5_seed8,8,1337,1.5,300,0.586348,88.2600,89.5800
cifar10_resnet20_N1p5_seed9,9,1337,1.5,300,0.579547,88.5100,89.4600
cifar10_resnet20_N1p5_seed10,10,1337,1.5,300,0.584544,88.4900,89.7000
cifar10_resnet20_N1p5_seed11,11,1337,1.5,300,0.592716,88.4000,89.4200
cifar10_resnet20_N1p5_seed12,12,1337,1.5,300,0.579467,88.5300,89.6000
cifar10_resnet20_N1p5_seed13,13,1337,1.5,300,0.580000,88.9200,90.0000
cifar10_resnet20_N1p5_seed14,14,1337,1.5,300,0.586568,88.5800,89.5600
cifar10_resnet20_N1p5_seed15,15,1337,1.5,300,0.590811,88.2300,89.7000
