run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet20_N1p0_seed6,6,1337,1.0,300,0.592034,88.1900,88.5200
cifar10_resnet20_N1p0_seed7,7,1337,1.0,300,0.602497,87.8400,88.3800
cifar10_resnet20_N1p0_seed8,8,1337,1.0,300,0.592331,88.3900,88.8200
cifar10_resnet20_N1p0_seed9,9,1337,1.0,300,0.599938,87.6500,89.3400
cifar10_resnet20_N1p0_seed10,10,1337,1.0,300,0.597020,88.1700,88.9200
