run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet20_N4p0_seed6,6,1337,4.0,300,0.540787,90.5700,91.7800
cifar10_resnet20_N4p0_seed7,7,1337,4.0,300,0.542133,90.4800,91.7800
cifar10_resnet20_N4p0_seed8,8,1337,4.0,300,0.540208,90.5200,91.3600
cifar10_resnet20_N4p0_seed9,9,1337,4.0,300,0.542585,90.4700,91.5800
cifar10_resnet20_N4p0_seed10,10,1337,4.0,300,0.549685,90.2000,91.4200
