run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet18_N5p0_seed6,6,1337,5.0,300,0.457367,94.5800,95.4200
cifar10_resnet18_N5p0_seed7,7,1337,5.0,300,0.450509,94.6500,95.6200
cifar10_resnet18_N5p0_seed8,8,1337,5.0,300,0.449357,94.6700,96.1200
