run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet20_N2p5_seed6,6,1337,2.5,300,0.566519,89.4100,90.2200
cifar10_resnet20_N2p5_seed7,7,1337,2.5,300,0.563864,89.3100,90.7800
cifar10_resnet20_N2p5_seed8,8,1337,2.5,300,0.559186,89.5600,90.5200
cifar10_resnet20_N2p5_seed9,9,1337,2.5,300,0.554174,89.7200,90.7000
cifar10_resnet20_N2p5_seed10,10,1337,2.5,300,0.553359,89.7700,90.6200
cifar10_resnet20_N2p5_seed11,11,1337,2.5,300,0.562525,89.7500,90.7200
cifar10_resnet20_N2p5_seed12,12,1337,2.5,300,0.557011,89.8500,90.8800
cifar10_resnet20_N2p5_seed13,13,1337,2.5,300,0.570329,89.5400,90.5600
cifar10_resnet20_N2p5_seed14,14,1337,2.5,300,0.560013,89.5700,90.6800
cifar10_resnet20_N2p5_seed15,15,1337,2.5,300,0.568399,89.1200,90.9000
