epoch,train_loss,train_acc
1,2.1170207649230957,22.094
2,2.0448846820831297,26.494
3,2.031297261047363,27.094
4,2.0270849211883544,27.254
5,2.0270982649993896,27.478
6,2.018539892425537,27.352
7,2.019651152191162,27.572
8,2.0143053047180177,28.174
9,2.0098943606567383,28.108
10,2.00915119972229,27.78
11,2.0054496571350096,28.06
12,2.0026093045806883,28.03
13,2.0031072814559936,28.498
14,2.0056481646728517,28.614
15,1.9982548948669434,28.542
16,1.9973969937133789,28.22
17,1.9929826280975342,28.282
18,1.9896907932281493,28.62
19,1.9865554188537597,28.506
20,1.9868696941375732,28.718
21,1.9876637684631349,28.21
22,1.9861646717071533,28.566
23,1.9855779500579833,28.82
24,1.984944375152588,28.552
25,1.981062813796997,28.716
26,1.9843364288330079,28.606
27,1.9802487452697755,28.532
28,1.9801113039779663,28.584
29,1.9800707110977174,29.18
30,1.9895600625228882,28.102
31,1.9716887979888915,28.196
32,1.968516886062622,28.64
33,1.9678555821990966,28.606
34,1.965763951072693,28.698
35,1.967447957496643,28.536
36,1.9649112899780274,28.684
37,1.9639917282867432,28.892
38,1.9644174677276611,28.59
39,1.9645597291564942,28.994
40,1.9605006999969483,29.074
41,1.9595641690063477,29.0
42,1.9605074437713623,29.092
43,1.9629743963241577,28.834
44,1.9588347225952147,29.4
45,1.9596879790496826,29.21
46,1.9568035958099366,29.156
47,1.9606117902374267,28.948
48,1.9605416396331787,29.144
49,1.957068877029419,29.464
50,1.9557703992080688,29.328
51,1.9556384413909913,29.768
52,1.9556236457824707,30.07
53,1.9554802698516847,29.504
54,1.9540422301483154,29.918
55,1.9529605459976196,29.77
56,1.9536177516937256,30.148
57,1.9540392572402954,30.122
58,1.9505266022491454,30.138
59,1.9524423489379883,30.562
60,1.9872333084869385,28.55
61,1.964184359779358,29.286
62,1.9602973056030273,29.74
63,1.9607552753448487,29.916
64,1.9580143566513062,30.052
65,1.9560764538574218,30.58
66,1.9536213385009766,30.65
67,1.9528051979064942,30.34
68,1.952734088973999,31.094
69,1.9531240657043456,30.458
70,1.9524205724716186,30.668
71,1.949403934173584,30.86
72,1.9544369388198852,30.6
73,1.9521257485580443,31.37
74,1.9488574848175049,30.83
75,1.9535400786590575,31.036
76,1.9555861348724366,31.088
77,1.9511841496276856,31.448
78,1.952556794052124,31.684
79,1.9499256310272217,31.754
80,1.9529444992828369,32.356
81,1.9507046364593505,32.764
82,1.951399475479126,32.964
83,1.9515075127792358,33.288
84,1.9502487450408936,34.18
85,1.94504407497406,35.134
86,1.9416153559112548,35.064
87,1.9356232186889648,35.282
88,1.9346724560165405,35.5
89,1.9339504615020753,35.776
90,1.929356275367737,36.148
91,1.924872403869629,36.904
92,1.921644702758789,36.962
93,1.9197711428451538,37.342
94,1.9170068494033814,37.15
95,1.9195088753509522,37.314
96,1.9170011947250367,37.396
97,1.9148745959472657,37.656
98,1.9214768194198608,36.648
99,1.9142266526031495,37.354
100,1.9206408843231202,36.814
