epoch,train_loss,train_acc
1,2.1170207649230957,22.094
2,2.0448846820831297,26.494
3,2.031297261047363,27.094
4,2.0270849211883544,27.254
5,2.0270982649993896,27.478
6,2.018539892425537,27.352
7,2.019651152191162,27.572
8,2.0143053047180177,28.174
9,2.0098943606567383,28.108
10,2.00915119972229,27.78
11,2.0054496571350096,28.06
12,2.0026093045806883,28.03
13,2.0031072814559936,28.498
14,2.0056481646728517,28.614
15,1.9982548948669434,28.542
16,1.9973969937133789,28.22
17,1.9929826280975342,28.282
18,1.9896907932281493,28.62
19,1.9865554188537597,28.506
20,1.9868696941375732,28.718
21,1.9876637684631349,28.21
22,1.9861646717071533,28.566
23,1.9855779500579833,28.82
24,1.984944375152588,28.552
25,1.981062813796997,28.716
26,1.9843364288330079,28.606
27,1.9802487452697755,28.532
28,1.9801113039779663,28.584
29,1.9800707110977174,29.18
30,1.9778541144561768,28.616
31,1.9778681731796264,28.908
32,1.9796984091567993,28.524
33,1.9770415068817138,28.84
34,1.9793652606964112,29.022
35,1.9789460150909424,28.838
36,1.978307306060791,29.044
37,1.979827516822815,28.716
38,1.9783531279754638,28.71
39,1.9780201169586182,28.996
40,1.9768532943344117,29.274
41,1.9776796926498412,29.06
42,1.973632493133545,29.062
43,1.9786345418548583,28.92
44,1.971282236328125,29.204
45,1.9743458828353881,29.054
46,1.9715649538803102,29.308
47,1.9698880408477784,29.354
48,1.9710151781463623,29.052
49,1.967282922668457,29.346
50,1.966821428565979,29.332
51,1.965242386817932,29.218
52,1.9648579600524902,29.6
53,1.9680400532531739,29.742
54,1.9672433764266968,29.674
55,1.9672460219573975,29.324
56,1.968304208831787,29.802
57,1.9700700972747802,29.548
58,1.9690509340667726,29.442
59,1.9715720511245727,29.074
60,1.9682305183410644,29.414
61,1.9661644623565673,29.7
62,1.9684872189331055,29.686
63,1.9685351964950561,29.238
64,1.9662830625152588,29.728
65,1.9678830884170533,29.512
66,1.967035152206421,29.746
67,1.964939129486084,29.748
68,1.96549473903656,29.922
69,1.9666742116546632,29.768
70,1.9681324460220337,29.662
71,1.967050650024414,29.608
72,1.969167587928772,29.896
73,1.9683734857940673,29.408
74,1.9623442000579834,30.024
75,1.9644765317153932,29.46
76,1.9658082413101197,30.14
77,1.964404376678467,30.286
78,1.9671394549942016,29.838
79,1.9649340709686278,30.492
80,1.9655963022613525,30.082
81,1.9682756237411498,29.978
82,1.9638692770385742,30.612
83,1.9693439415740968,30.132
84,1.9686247789764404,30.274
85,1.9661412353515626,31.084
86,1.965882356300354,31.196
87,1.9679802307891845,30.698
88,1.9662373569488525,31.142
89,1.9657019260025024,31.38
90,1.9639843355560302,31.816
91,1.9644769955062866,32.124
92,1.9645986196899414,32.212
93,1.9655646598052978,32.708
94,1.9659950220489502,32.732
95,1.9656217896270751,33.05
96,1.965059824066162,33.582
97,1.9649532327270507,33.34
98,1.9647459586334228,33.94
99,1.9653101806259154,34.246
100,1.9596780721664429,34.776
